🆕,D,S,NAME,PARENT TYPE,TYPE,BRAND,ORIGIN,ABV,DNGR ,SHWN ,FINAL,DONGER COMMENTS,SHAWOOBOO COMMENTS
🆕,,,Kloud Original Gravity,PALE LAGERS,German Pilsner,LOTTE CHILSUNG BEVERAGE COMPANY,"Seoul, SOUTH KOREA",5.0%,6.4,6.5,6.5,Super malty. Had no idea it was a German pils. Tastes almost like a dunkel or very malty amber. ,"honey sweetness, light bubbles, citrus linger, NOT their npc beer by any means"
,,,Warsteiner Premium Pilsener,PALE LAGERS,German Pilsner,WARSTEINER BRAUEREI,"Warstiener, GERMANY",4.8%,6.8,6.2,6.5,"Smooth and crispy, as all pilsners should be. ","nice and clean, what you'd want"
,,,Taj Mahal Premium Lager,PALE LAGERS,American Adjunct Lager,UNITED BREWERIES,"Bangalore, INDIA",4.5%,6.6,6.2,6.4,Indian beers so far are sorta just classically crispy lagers. Very malty smell; almost bread-y.,"malty, crispy, pretty damn good (fingys crossed on tummy issues, no problems so far, gj india)"
,,,STS Pils,PALE LAGERS,German Pilsner,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",5.4%,6.6,6.1,6.4,The only hop I've ever liked. ,I'll have this at Kenji's tap
,⭐,,Samuel Smith Pure Brewed Organic Lager,PALE LAGERS,European Pale Lager,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,6.5,6.0,6.3,A masterclass in an lager beer.,an great lager
,,,Craftsman 1903,PALE LAGERS,American Lager,CRAFTSMAN BREWING COMPANY,"Pasadena, CA",5.6%,6.2,,,Nutty bitterness and less refined hoppiness. ,
,,,Kaltenberg Royal Lager Unfiltered,PALE LAGERS,Kellerbier / Zwickelbier,KÖNIG LUDWIG SCHLOSSBRAUEREI,"Fürstenfeldbruck, GERMANY",5.0%,6.5,5.8,6.2,Caramel lager. Sweet and nutty pilsner. ,"caramely pils, slightly thick on the tongue"
,,,The Higher the ABV the Downer the Foo,PALE LAGERS,American Adjunct Lager,VILLAINS BREWING COMPANY,"Anaheim, CA",5.4%,,6.2,,,"tastes like an amber Mexican lager sounds, absolutely crushable"
,,,Erdinger Oktoberfest Weissbier,PALE LAGERS,Festbier / Wiesnbier,PRIVATBRAUEREI ERDINGER WEISSBRÄU,"Erding, GERMANY",5.7%,6.2,6.0,6.1,Martinelli lager. Apple-FRESH.,"apple cider beer, but not stupid sweet"
,,,Lil Quey Quey Experimental Lager,PALE LAGERS,American Lager,UKIAH BREWING COMPANY,"Ukiah, CA",5.4%,,6.1,,,"dry, crispy, slight butter on the end"
,,,Asahi Taruzume Nama Maru F,PALE LAGERS,German Pilsner,ASAHI BREWERIES,"Osaka, JAPAN",4.5%,6.3,5.7,6.0,"Noticeably richer than standard Asahi. Supposedly their classic ""draft"" recipe. ",maybe the same as clear? idk im drunk as shit at this point
,⭐,⭐,Asahi Super Dry,PALE LAGERS,Japanese Rice Lager,ASAHI BREWERIES,"**Osaka, JAPAN",5.2%,6.0,6.0,6.0,"Foo Foo Tei, my precious.",tastes better from a bottle.
,,,Pabst Blue Ribbon,PALE LAGERS,American Adjunct Lager,PABST BREWING COMPANY**,"**Milwaukee, WI",4.8%,6.0,6.0,6.0,"There's cheap beer, and then there's PBR. And they somehow made it damn good. ",dude these beers are 50 cents
🆕,,,pFriem Pilsner,PALE LAGERS,German Pilsner,PFRIEM FAMILY BREWERS,"Hood River, OR",4.9%,5.9,6.0,6.0,Crisp and clean. Has some German pils tanginess. Not ruined by hops and grass. ,just a good pils
,,,Weihenstephaner Festbier,PALE LAGERS,Festbier / Wiesnbier,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.8%,6.1,5.8,6.0,Clean hefe minus bananas. Could drink gallons.,great initial but ends a tad bitter
,,,Yebisu Premium,PALE LAGERS,European / Dortmunder Export Lager,SAPPORO BREWERIES,"Sapporo, JAPAN",5.0%,6.0,5.9,6.0,"TIL Yebisu is Sapporo's ""premium"" brand. Certainly tastes like Sapporo++.",Sapporo but with only a tang of bitterness
,,,Diashō Lager,PALE LAGERS,Japanese Rice Lager,BALLAST POINT BREWING COMPANY,"San Diego, CA",4.4%,5.8,6.0,5.9,Asahi+ but you pay for it.,"asahi adjacent, bit smoother but less crisp"
,,,Foster's Classic Lager,PALE LAGERS,Light Lager,CARLTON & UNITED BREWERIES**,"**Fort Worth, TX",4.0%,5.9,5.8,5.9,"""AUSTRALIAN FOR BEER.""™","the lighter, less bitter cousin, the ideal outback crusher"
,,,Fremont Golden Pilsner,PALE LAGERS,Bohemian / Czech Pilsner,FREMONT BREWING COMPANY,"Seattle, WA",4.5%,6.2,5.5,5.9,"Best pils we had in Seattle. Good nuttiness, just enough hop delivering a solid crispness. ","light but tasty, nice and crisp"
,,,MT Pils,PALE LAGERS,German Pilsner,MODERN TIMES BEER ,"San Diego, CA",4.8%,6.5,5.2,5.9,Refreshing hop and fruit notes without being overbearing. Easy beer to like.,"pretty good, but nothing really to write home about"
,,,Singha,PALE LAGERS,European Pale Lager,BOON RAWD BREWERY,"Bangkok, THAILAND",5.0%,5.9,5.9,5.9,Richer flavor and body than something like Banquet. Almost as good as Asahi. ,"tip of the tongue tingle, thicker taste to try"
,⭐️,,The Premium Malt's,PALE LAGERS,German Pilsner,SUNTORY,"Osaka, JAPAN",5.5%,6.5,5.3,5.9,I can't believe this is a convenience store beer. An excellent pilsner. ,"malty, thicker npc beer"
,,,Weihenstephaner 1516 Kellerbier,PALE LAGERS,Kellerbier / Zwickelbier,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.6%,6.1,5.7,5.9,"Hefeweizen but without the novelty banana bread taste. Left with a mostly ""alright"" beer.",I guess the banana beer is the best lmao
,,,Careless Whisper,PALE LAGERS,Helles,FREMONT BREWING COMPANY,"Seattle, WA",4.9%,5.5,6.0,5.8,An Oscar-winning an beer. ,Now That's What I Call Refreshing! ™
,,,Infinite Hotel,PALE LAGERS,Japanese Rice Lager,WAYFINDER BEER,"Portland, OR",5.1%,5.5,6.0,5.8,"Little watery finish, otherwise straightforward. Lighter than their helles. ","a great cold beer, zero complaints"
,,,Sapporo Ginza Lion Beer Hall Special,PALE LAGERS,American Lager,SAPPORO BREWERIES,"Sapporo, JAPAN",5.0%,5.8,,,Sapporo Banquet©.,
,,,Asahi Super Dry Nama Mug,PALE LAGERS,Japanese Rice Lager,ASAHI BREWERIES,"Osaka, JAPAN",5.2%,5.5,5.8,5.7,Fun but messy. ,ever slightly less crisp than regular Asahi
,,,Effigy,PALE LAGERS,Bohemian / Czech Pilsner,THERE DOES NOT EXIST,"San Luis Obispo, CA",5.2%,5.5,5.9,5.7,"Clean pilsner with just a hint of Mexican beer vibes, if you like that sort of thing.","light fruit, very light trickle 8^)"
,,,Hofbräu Original,PALE LAGERS,Helles,STAATLICHES HOFBRÄUHAUS IN MÜNCHEN,"Munich, GERMANY",5.1%,5.7,5.6,5.7,Very crisp and decently flavored for a light helles. Tastes better than banquet.,if i got this from the beer man every week it'd be a solid 7.0
,,,Weihenstephaner Original Premium,PALE LAGERS,Helles,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.1%,5.9,5.4,5.7,Quintissential light beer.,"kinda stinky, but overall a really good light beer"
,⭐,,Coors Banquet,PALE LAGERS,American Adjunct Lager,MOLSON COORS BEVERAGE COMPANY,"Golden, CO",5.0%,5.7,5.4,5.6,Go-to American grocery store beer.,cool bottle i guess
,,,Dolores,PALE LAGERS,German Pilsner,LIVING HÄUS BEER COMPANY,"Portland, OR",4.8%,5.4,5.7,5.6,"Crisp, all-around decent lager. Tastes like you were meant to slam a few of these with food.","""aaaaah"" type beat"
,,,Harp Lager,PALE LAGERS,European Pale Lager,ST. JAMES'S GATE BREWERY,"**Dubin, IRELAND",4.5%,5.7,5.4,5.6,"Solid, refreshing, everyday lager.","dublin miller high life, almost soda"
,,,Kirin Spring Valley 496,PALE LAGERS,India Pale Lager,KIRIN COMPANY,"Yokohama, JAPAN",6.5%,5.5,5.6,5.6,Hoppy banquet. ,wheatier banquet
,,,Lagerville,PALE LAGERS,American Lager,FIGUEROA MOUNTAIN BREWING COMPANY,"Buellton, CA",4.9%,5.5,5.6,5.6,"Gets that score for being a decent lager. The ""matcha"" is a straight up lie.","decent rice lager with essence of matcha, kinda has the slight graininess of match with a hint of matcha dryness at the end"
,,,Love Street Blonde,PALE LAGERS,Kölsch,KARBACH BREWING COMPANY,"Houston, TX",4.9%,,5.6,,,"richer miller highlife, but i wont pay the premium"
,,,Big Noise 🚾,PALE LAGERS,American Lager,CB GLOBAL BREWING,"Eugene, OR",4.6%,5.8,5.2,5.5,"Drinks more like a mildly hoppy pale ale. Light and easy, fruity and sweet.","slight wheat but crushable, light and fruity"
,,,Mic Czech,PALE LAGERS,Bohemian / Czech Pilsner,BOOMTOWN BREWERY,"Los Angeles, CA",5.6%,6.0,5.0,5.5,Totally passable pils. Malty nuttiness with just a hint of crisp bitterness. ,"nice pils, not great but not bad"
,,,Mosaic Pilsner,PALE LAGERS,German Pilsner,LINCOLN BEER COMPANY,"Burbank, CA",5.2%,5.2,5.8,5.5,Lemonade hops and smell with no grass. Almost too fizzy and not really pils-ish. ,"almost radler-esque, with potpourri floralness"
,,,Post Alley Pils,PALE LAGERS,German Pilsner,PIKE BREWING COMPANY,"Seattle, WA",5.5%,5.0,6.0,5.5,Braindead addition of hops ruining an otherwise decently crisp pils. ,"light but extremely fragrant, almost perfume-like"
,,,Gabagool Italian Pilsner,PALE LAGERS,European Pale Lager,FREMONT BREWING COMPANY,"Seattle, WA",5.0%,5.2,5.5,5.4,Sweet and creamy(?) hoppiness. Hop-forward pilsner done right though. Very crisp. ,pils with hops but in a good way
,,,King Crispy,PALE LAGERS,German Pilsner,DESCHUTES BREWEY,"Bend, OR",4.8%,5.2,5.6,5.4,"Yet another pilsner that wants to be a pale ale. Crisp and good, just not a damn pils. ","fruity hops on the nose, dry hops on the tongue"
,,,Kirin Classic Lager,PALE LAGERS,Japanese Rice Lager,KIRIN COMPANY,"Yokohama, JAPAN",4.5%,5.4,,,Finishes bitter but crisper than standard Kirin. Mouthfeel is lite beer-esque.,
,,,I Choose Yuzu,PALE LAGERS,Japanese Rice Lager,PURE PROJECT BREWING,"San Diego, CA",5.0%,5.1,5.6,5.4,"Has yuzu, if only just the peel?",hefe-esque thingy with yuzu up front
,,,Paulaner Premium Pils,PALE LAGERS,German Pilsner,PAULANER BRAUEREI MÜNCHEN,"Munich, GERMANY",4.8%,5.2,5.5,5.4,"Great fizz, finishes kind of dry and bitter.","a very fizzy bitter juice, probably great with beer"
,,,Saca La Bolsita,PALE LAGERS,American Adjunct Lager,VILLAINS BREWING COMPANY,"Anaheim, CA",4.7%,5.0,5.8,5.4,"An lager, but I didn't get the advertised salt and lime. Better than other Mexican beers as-is.","crisp Mexican lager, comes with lime and salt on the side"
,,,Bad Hombre,PALE LAGERS,American Adjunct Lager,BOOMTOWN BREWERY,"Los Angeles, CA",4.8%,5.1,5.5,5.3,"Weird leafiness that I can't quite put my finger on. Not hop, and not grass. ","nice and crisp, the lager to get here"
,,,Dead Guy Pilsner,PALE LAGERS,German Pilsner,ROUGE ALES,"Newport, OR",5.0%,,5.3,,,"nice and crispy with light pils flavor, good for slamming"
,,,Kirin Ichiban,PALE LAGERS,American Lager,KIRIN COMPANY,"**Yokohama, JAPAN",5.0%,5.5,5.1,5.3,Middle marker right between Asahi and Sapporo.,"light, crispy, mid"
,,,Orion Premium Draft Beer,PALE LAGERS,Japanese Rice Lager,ORION BREWERIES,"Okinawa, JAPAN",5.0%,5.6,5.0,5.3,"Trades blows with Kirin. Slightly better texture here, slightly more flavor there. ","crispier than orion, but also still mid"
,,,Bia Hoi Vietnamese Lager,PALE LAGERS,Japanese Rice Lager,NO BOAT BREWING COMPANY,"Snoqualmie, WA",4.1%,,5.3,,,"ever so slightly orange, ever so slightly thicker body, espeically good lager for slamming"
,,,Battlesnakes,PALE LAGERS,German Pilsner,BREWERY X,"Anaheim, CA",5.2%,4.2,6.1,5.2,Floral Mexican beer vibes with an extra layer of unexpected sourness. ,"tasty pils, light, floral, cerveza-ish"
,,,Happy Hour Helles,PALE LAGERS,Helles,ALMANAC BEER COMPANY,"Alameda, CA",5.0%,5.3,5.0,5.2,Clean nut.,"nutty, super fizzy helles, pretty interesting ngl"
,,,Költura,PALE LAGERS,Kölsch,LA BODEGA BREWING COMPANY,"Whittier, CA",4.8%,5.2,5.2,5.2,Better Bud Lite -esque beer.,"light, fizzy, wheaty, slammable as it should"
,,,Momiji Lager,PALE LAGERS,Japanese Rice Lager,MIYAJIMA BEER,"Hiroshima, JAPAN",5.0%,5.2,,,Like a malty pale ale? Or a hoppy pale lager?,
,,,Yovu Golden Lager,PALE LAGERS,American Lager,YOVU BEER,"Portland, OR",4.9%,4.5,5.9,5.2,Has some odd watery cream ale vibes. Might have just been the tap.,"pure texture experience, cream ale without using cream, nitro without using nitro, really interesting"
,,,Corona Familiar,PALE LAGERS,American Adjunct Lager,GRUPO MODELO,"Mexico City, MEXICO",4.8%,5.2,5.0,5.1,Shame we don't get Corona MEGA in the states.,"the ideal form of corona, better in a liter, served in a bucket"
,,,Tettbanger Pils,PALE LAGERS,German Pilsner,MONDAY NIGHT BREWING,"Atlanta, GA",4.5%,5.1,,,Bitter forward. Some malt and not overhopped makes it a decent American German pils. ,
,,,Benediktiner Festbier,PALE LAGERS,Festbier / Wiesnbier,KLOSTERBRAUEREI ETTAL,"Ettal, GERMANY",5.8%,5.7,4.3,5.0,Slight tang. Slots below Weihenstephaner. ,"ever so slight breadyness, not the best festbier"
,,,Egils Gull,PALE LAGERS,Helles,ÖLGERÐIN EGILL SKALLAGRÍMSSON,"Reykjavík, ICELAND",5.0%,5.0,5.0,5.0,"Solid ""normal"" light beer.",probably what the local men drink
,,,Lone Star Original Beer,PALE LAGERS,American Adjunct Lager,LONE STAR BREWING COMPANY**,"San Antonio, TX",4.7%,,5.0,,,"a nice crisp an beer, solid pbr adjacent"
,,⭐,Miller High Life,PALE LAGERS,American Adjunct Lager,MOLSON COORS BEVERAGE COMPANY,"Milwaukee, WI",4.6%,5.0,5.0,5.0,Banquet Lite.,"best enjoyed freezing-cold, after a hot shower/tub soak"
,,,Modelo Especial,PALE LAGERS,American Adjunct Lager,GRUPO MODELO,"Mexico City, MEXICO",4.4%,4.9,5.0,5.0,"Corona is a low bar though, let's be real.",better than corona
,,,Push Mower,PALE LAGERS,German Pilsner,ELYSIAN BREWING COMPANY,"Seattle, WA",5.0%,4.2,5.8,5.0,Mildly hoppy and mildly sour for some reason. ,"really dry, slight sour, but extremely crushable"
,,,Suntory Triple Draft,PALE LAGERS,Czech Pale Lager,SUNTORY,"Osaka, JAPAN",5.0%,5.0,,,"The most ""default"" lager of the trip. Like Sapporo minus the trademark bitterness. ",
,,,Tesla CyberBeer,PALE LAGERS,Helles,BUZZROCK BREWING COMPANY,"Torrance, CA",7.0%,5.7,4.2,5.0,Brizzle the GOAT. Dark chocolatey lager with a slightly hoppy finish. ,ty brizzle
,,,Ukiah Pilsner,PALE LAGERS,Bohemian / Czech Pilsner,UKIAH BREWING COMPANY,"Ukiah, CA",5.4%,,5.0,,,"crisp, hoppy, light"
,,,Żywiec Beer,PALE LAGERS,European Pale Lager,ŻYWIEC BREWERY,"Cieszyn, POLAND",5.6%,5.0,5.0,5.0,"A beer called ""beer,"" tastes like beer.",it is fine
,,,El Rey Mexican Lager,PALE LAGERS,American Adjunct Lager,LA BODEGA BREWING COMPANY,"Whittier, CA",5.2%,4.4,5.4,4.9,"Tastes like their base model lager but lite. Slightest hint of salt, no lime. ",buena suerta lite
,,,Pasta Water,PALE LAGERS,German Pilsner,BOOMTOWN BREWERY,"Los Angeles, CA",4.9%,4.8,4.9,4.9,San Pellegrino ass lager. Almost a lemon radler. ,"seltzer water esque, ""water"" indeed"
,,,Velvet Glow,PALE LAGERS,Helles,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",4.8%,4.8,5.0,4.9,"Super clean, inoffensive.","the most inoffensive things i've ever drank, there's a reason there wasn't a buy limit on these"
,,,Dieguito,PALE LAGERS,German Pilsner,PIZZA PORT BRESSI RANCH,"Carlsbad, CA",5.5%,4.9,4.7,4.8,"Hop smell with no hop taste, but did hops really belong in a pilsner?",like a good ipa
,,,Arcobräu Festbier,PALE LAGERS,Festbier / Wiesnbier,ARCOBRÄU GRÄFLICHES BRAUHAUS,"Moos, GERMANY",5.5%,4.3,5.0,4.7,Festbier but with marzen flavors. Maybe for those Oktoberfesters that want both?,"an odd inbetween of marzen and festbier, neither love or hate it"
,,,Barrio Lasita,PALE LAGERS,Helles,HOMAGE BREWING,"Pomona, CA",4.8%,4.0,5.3,4.7,Just okay. Mexican beer-esque aftertaste.,mexican beer with a hint of doritos
,,,Sapporo Premium,PALE LAGERS,American Lager,SAPPORO BREWERIES," **Sapporo, JAPAN",4.9%,4.9,4.4,4.7,Always on draft and cheaper than Asahi. ,"mmm, bitterness."
,,,Seapine Helles Lager,PALE LAGERS,Helles,SEAPINE BREWING COMPANY,"Seattle, WA",4.9%,5.2,4.2,4.7,"All-rounder decent malty lite beer. A slightly more sophisticated High Life, if you will.","an lager, i'd slam these just not at locust "
,,,Talking Hands Italian Pilsner,PALE LAGERS,European Pale Lager,TRADEMARK BREWING,"Long Beach, CA",5.0%,4.5,4.9,4.7,Leans towards the hoppy floral side of pale lagers. Still decently crisp. ,"sharp bubbles, sweet (a tad too sweet)"
,,,The Helles From Nelles,PALE LAGERS,Helles,WHITTIER BREWING COMPANY,"Whittier, CA",5.0%,4.4,5.0,4.7,[Insert Brand Here] Lite,an beer
,,,Hacker-Pschorr Münchner Gold,PALE LAGERS,Helles,HACKER-PSCHORR BRÄU,"Munich, GERMANY",5.5%,4.9,4.2,4.6,Slightly sweet and nutty off the top. ,it's aight
,,,Bikini Blonde Lager,PALE LAGERS,Helles,MAUI BREWING COMPANY,"Kihei, HI",5.1%,4.4,4.7,4.6,"Oddly hoppy blonde ale. No grass, just not a fan of the ambiguous fruit notes.","light beer with slight fruity, lingering aftertaste"
,,,Labatt Blue,PALE LAGERS,American Adjunct Lager,LABATT BREWING COMPANY,"Toronto, CANADA",5.0%,4.6,4.6,4.6,Canada's got it goin' pretty good.,"an beer, slight sour in the beginning, will gladly take with maple syrup"
,,,Moment of Zen,PALE LAGERS,Japanese Rice Lager,KARL STRAUSS BREWING COMPANY,"Anaheim, CA",4.1%,4.0,5.2,4.6,"Ginger spice yuzu beer. Very full mouthfeel, odd flavors overall. ","definitely yuzu, slight buttery finish, hitting about it's Karl Strauss rep"
,,,Anderson Valley The Pilsner,PALE LAGERS,German Pilsner,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",5.0%,4.5,4.5,4.5,"No gold medal pilsner here, but a savior among IPAs. Strangely hopped, but crisp and clean.","nice, crisp, clean"
,,,Bierstadt American Reinheitsgebot,PALE LAGERS,Helles,ENEGREN BREWING COMPANY**,"Moorpark, CA",4.8%,4.5,4.5,4.5,"Surprisingly crisp citrus-cream-ale vibe, but it's definitely not what I want from a helles.","oddly creamy, super duper lite orange julius "
,,,Bitburger Premium Pils,PALE LAGERS,German Pilsner,BITBURGER BRAUEREI,"Bitburg, GERMANY",4.8%,5.5,3.4,4.5,"Dry and bitter, Slightly sour and light for a pils.",eeh
,,,Buenaveza Salt & Lime Lager,PALE LAGERS,American Lager,STONE BREWING,"Escondido, CA",4.7%,5.2,3.8,4.5,Normal tasting lager with a hint of lime. No odd floral-ness a la other Mexican beers.,"weak sauce cerveza, La Croix levels of lime"
,,,E9 Tacoma Brew Kölsch,PALE LAGERS,Kölsch,E9 BREWING COMPANY,"Tacoma, WA",4.9%,4.9,4.0,4.5,"Definitely strong flavored for a kolsch. Little hoppy, little bitter. Otherwise normal.",was so infatuated with the laos burger that i didn't even register this beer
,,,Feathered Serpent Mexican Lager,PALE LAGERS,American Lager,FEATHERED SERPENT BREWERY,"La Puente, CA",4.5%,,4.5,,,"just the right amount of salt and lime, slightly malty body, kinda uncharacteristically dry"
,,,Hobo Pilsner,PALE LAGERS,German Pilsner,DUST BOWL BREWING COMPANY,"Turlock, CA",5.3%,4.5,4.4,4.5,"Just bitter, and no hop freshness.","""crisp and bright""? more like ""mid and alright"""
,,,Ayinger Bairisch Pils,PALE LAGERS,German Pilsner,AYINGER PRIVATBRAUEREI,"Aying, GERMANY",5.3%,4.9,3.8,4.4,"High Life++. Very disappointing for a top-10 pilsner though. Weakly hopped, no nuttiness.",a pils but not fucking with the bitter aftertaste
,,,Carlsberg Danish Pilsner,PALE LAGERS,German Pilsner,CARLSBERG A/S,"Copenhagen, DENMARK",5.0%,4.4,4.4,4.4,Light and tart.,eh
,,,Kamplite,PALE LAGERS,American Lager,CAMPSITE BREWING COMPANY,"Covina, CA",4.8%,4.8,4.0,4.4,Sapporo ahhh beer.,an lager
,,,Weird Science 🚾,PALE LAGERS,India Pale Lager,PAPERBACK BREWING COMPANY,"Glendale, CA",5.6%,4.2,4.6,4.4,"Kinda taste a zesty pilsner underneath. More like a lager-y IPA, not the other way around.","weird citrus peel bitter notes, not actually all that hoppy"
,,,Feels Like Home,PALE LAGERS,German Pilsner,EVERYWHERE ,"Orange, CA",5.1%,4.4,4.2,4.3,Just a different brand of hoppy lager. The least offensive of the night from this place. ,marginally the better one
,,,Taiwan Beer,PALE LAGERS,Japanese Rice Lager,TAIWAN TOBACCO & LIQUOR CORPORATION,"Taipei, TAIWAN",4.5%,4.8,3.7,4.3,Crisp lager that smells a bit like old people?,tastes 10% like old chinese people smells
,,,Weihenstephaner Pils,PALE LAGERS,German Pilsner,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.1%,5.6,3.0,4.3,Wish I had more to say. Tasted like beer.,meh
,,,Louvada Pilsen ,PALE LAGERS,German Pilsner,CERVEJERIA LOUVADA,"Cuiabá, BRAZIL",4.8%,3.9,4.5,4.2,"Weird bitterness. Sweetness is off, can't tell what it is. Not hop or malt. ",lingering sweet aftertaste on an otherwise meh drink
,,,Rain,PALE LAGERS,German Pilsner,PURE PROJECT BREWING,"San Diego, CA",5.3%,4.8,3.5,4.2,"Slightly weed-y, Mexican lager-y pilsner. Pretty unremarkable, and not malty enough. ",i think the focomoco fucked my taste buds for this one lmao
,,,Scrimshaw,PALE LAGERS,German Pilsner,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",4.5%,4.2,4.2,4.2,"Hop bitterness, but no grassiness. ",spicy seltzer water
,,,Miller Genuine Draft,PALE LAGERS,American Adjunct Lager,MILLER BREWING COMPANY,"Milwaukee, WI",4.7%,3.9,4.2,4.1,That this is supposed to be significantly better than Miller Lite is the bamboozle of the century.,not worth it man
,,,Sabor Del Sol,PALE LAGERS,American Adjunct Lager,CAMPSITE BREWING COMPANY,"Covina, CA",4.8%,4.9,3.3,4.1,Jarring levels of salt and lime. Can't tell how good or bad the beer underneath is.,"way too much lime, even for a cerveza"
,,,Carlsberg Elephant Premium Pilsner,PALE LAGERS,European Strong Lager,CARLSBERG A/S,"Copenhagen, DENMARK",7.2%,4.0,4.0,4.0,Worse than the normal Carlsberg?,"eh, but worse"
,,,Corona Extra,PALE LAGERS,American Adjunct Lager,GRUPO MODELO,"Mexico City, MEXICO",4.6%,4.0,4.0,4.0,Family.,not modelo
,,,Island Lager,PALE LAGERS,American Lager,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.0%,4.0,,,"The most normal beer I tried here. Refreshing among IPAs, but still grassy at the end.",
,,,San Miguel Premium Lager,PALE LAGERS,American Adjunct Lager,SAN MIGUEL BREWERY,"Mandaluyong, PHILIPPINES",5.0%,4.5,3.5,4.0,"Kirin-esque NPC beer. Crisp and clean, sligtly watery and bitter on the end. ","odd ""malt liquor"" bitterness with a watery mouthfeel, but helps that it was ice cold"
,,,Zhygulivske Retro,PALE LAGERS,European Pale Lager,OBOLON JOINT STOCK COMPANY,"Kyiv, UKRAINE",4.5%,4.2,3.7,4.0,"Reminds me of Taiwan Beer, but of the two Ukranian beers so far, I'm getting the trend.",lingering medicine but not as bad nearly as ass the other one
,,,Longboard Island Lager,PALE LAGERS,American Lager,KONA BREWING HAWAI'I,"Kailua-Kona, HI",4.6%,3.9,3.8,3.9,"Tiniest hint of flavor at first, then goes back to being just ""beer."" Kind of flat.","crisp, flat initial fruit, then goes to the standard sucky american lagers"
,,,Veltins Pilsener,PALE LAGERS,German Pilsner,BRAUEREI C. & A. VELTINS,"Nordrhein-Westfalen, GERMANY",4.8%,3.8,3.9,3.9,Maybe a whiff of hefe for some reason. Otherwise a very mediocre pils.,cool can but kinda just a lite pils
,,,Chela,PALE LAGERS,American Lager,DEADBEACH BREWERY,"El Paso, TX",4.0%,,3.8,,,modelo lite
,,,Coors Light,PALE LAGERS,Light Lager,COORS BREWING COMPANY,"**Irwindale, CA",4.0%,3.5,4.0,3.8, Just get Banquet. You're not that poor.,it was a mistake to think this could've been a banquet contender
,,,Happy Little Clouds,PALE LAGERS,German Pilsner,CLOUDBURST BREWING,"Seattle, WA",5.3%,4.1,3.5,3.8,More like hoppy little clouds. Doesn't even taste like a pilsner. Like a hoppy 805.,"why exist, an among us pale ale
note: they DID call it ""hoppy little clouds"" on the menu, just not on BA"
,,,Onibi Banzai Koshihikari Rice Lager,PALE LAGERS,Japanese Rice Lager,ONIBI BEER COMPANY**,"Sacramento, CA",4.2%,3.8,3.7,3.8,"Watery, expensive, pretentious Sapporo. And Sapporo isn't even a rice lager. ","gets bitter and then more bitter, feels watery"
,,,The Stand Cervecita ,PALE LAGERS,American Adjunct Lager,COMMON SPACE BREWERY,"Hawthorne, CA",4.2%,3.8,3.8,3.8,I don't like Modelo because of the floral-ness. This is even more of that. ,"actually needs the lime lmao, diet lime la croix lite"
,,,Yard House Golden Pilsner,PALE LAGERS,German Pilsner,NEW BELGIUM BREWING COMPANY,"Fort Collins, CO",4.8%,3.7,3.8,3.8,Grocery store pils.,"flat and mid, nothing ""golden"" about it"
,,,Deep Breaths,PALE LAGERS,Bohemian / Czech Pilsner,EVERYWHERE ,"Orange, CA",4.6%,3.5,3.8,3.7,A passable pale ale. Hangs around like a LaCroix.,honestly just bitter and nothing else
,,,Boli Premium,PALE LAGERS,American Lager,ÖLGERÐIN EGILL SKALLAGRÍMSSON,"Reykjavík, ICELAND",5.6%,4.0,3.1,3.6,"Sapporo, if Gull were Asahi.",probably what the local poor men drink
,,,Follow the Sun ,PALE LAGERS,Kölsch,KARL STRAUSS BREWING COMPANY,"Anaheim, CA",4.7%,3.4,3.7,3.6,Expensive craft Bud Lite.,lite lite
,,,Surprise and Delight,PALE LAGERS,Bohemian / Czech Pilsner,ZILKER BREWING COMPANY,"Austin, TX",5.0%,,3.6,,,a hint of citrus but overshawdowed by the midness of the beer
,,,Cureveza,PALE LAGERS,American Adjunct Lager,BJ'S BREWHOUSE,"West Covina, CA",5.4%,3.6,3.4,3.5,If Gatorade made beer. By far not the worst Mexican lager I've had. ,actually salty 
,,,Perennial Artisan Ales Pils,PALE LAGERS,German Pilsner,PERENNIAL ARTISAN ALES,"St. Louis, MO",5.0%,3.2,3.7,3.5,They just had to make it hoppy and sour.,"why is it so hoppy, lingering sweetness"
,,,Helles Yeah,PALE LAGERS,Helles,CAPISTRANO BREWING COMPANY,"San Juan Capistrano, CA",5.0%,,3.4,,,kinda a nothing beer
,,,Pacific Kölsch ,PALE LAGERS,Kölsch,GOLDEN ROAD BREWING,"Los Angeles, CA",5.2%,4.3,2.4,3.4,"Most normal, refreshing lager here, but I don't want to pay bar prices for it.",almost piss like
